Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 16V X7R","C0402",74.100000,-44.500000,-90.000000,top
"D1","LED","LED0402-R-RD_RED",4.545455,-20.642857,90.000000,top
"D2","LED","LED0402-R-RD_RED",16.666667,-20.642857,90.000000,top
"D3","LED","LED0402-R-RD_RED",13.636364,-9.214286,90.000000,top
"D4","LED","LED0402-R-RD_RED",10.606061,-9.214286,90.000000,top
"D5","LED","LED0402-R-RD_RED",16.666667,-17.785714,90.000000,top
"D6","LED","LED0402-R-RD_RED",16.666667,-14.928571,90.000000,top
"D7","LED","LED0402-R-RD_RED",16.666667,-12.071429,90.000000,top
"D8","LED","LED0402-R-RD_RED",16.666667,-9.214286,90.000000,top
"D9","LED","LED0402-R-RD_RED",16.666667,-6.357143,90.000000,top
"D10","LED","LED0402-R-RD_RED",16.666667,-3.500000,90.000000,top
"D11","LED","LED0402-R-RD_RED",4.545455,-17.785714,90.000000,top
"D12","LED","LED0402-R-RD_RED",4.545455,-14.928571,90.000000,top
"D13","LED","LED0402-R-RD_RED",4.545455,-12.071429,90.000000,top
"D14","LED","LED0402-R-RD_RED",4.545455,-9.214286,90.000000,top
"D15","LED","LED0402-R-RD_RED",4.545455,-6.357143,90.000000,top
"D16","LED","LED0402-R-RD_RED",4.545455,-3.500000,90.000000,top
"D17","LED","LED0402-R-RD_RED",7.575758,-9.214286,90.000000,top
"F1","Fuse","F0402",76.350000,-42.000000,180.000000,top
"P1","USB_Type_C_Receptacle_16_pin","USB-C-SMD_TYPE-C-6PIN-2MD-073",81.100000,-44.500000,90.000000,top
"R1","100Ω","R0402",5.645455,-20.392857,-90.000000,top
"R2","100Ω","R0402",17.766667,-20.392857,-90.000000,top
"R3","100Ω","R0402",14.736364,-8.964286,-90.000000,top
"R4","100Ω","R0402",11.706061,-8.964286,-90.000000,top
"R5","100Ω","R0402",17.766667,-17.535714,-90.000000,top
"R6","100Ω","R0402",17.766667,-14.678571,-90.000000,top
"R7","100Ω","R0402",17.766667,-11.821429,-90.000000,top
"R8","100Ω","R0402",17.766667,-8.964286,-90.000000,top
"R9","100Ω","R0402",17.766667,-6.107143,-90.000000,top
"R10","100Ω","R0402",17.766667,-3.250000,-90.000000,top
"R11","100Ω","R0402",5.645455,-17.535714,-90.000000,top
"R12","100Ω","R0402",5.645455,-14.678571,-90.000000,top
"R13","100Ω","R0402",5.645455,-11.821429,-90.000000,top
"R14","100Ω","R0402",5.645455,-8.964286,-90.000000,top
"R15","100Ω","R0402",5.645455,-6.107143,-90.000000,top
"R16","100Ω","R0402",5.645455,-3.250000,-90.000000,top
"R17","100Ω","R0402",8.675758,-8.964286,-90.000000,top
"R20","5.1kΩ","R0402",76.350000,-45.750000,180.000000,top
"R21","5.1kΩ","R0402",76.350000,-43.250000,180.000000,top
